question,ans1,ans2,ans3
Anybody figure out a good way to remember Preorder vs postorder? I think I'm fine with inorder and levelorder but the other two eh,"preorder = parent before children (pre)
postorder = parent after children (post)",and it's left child before right child in literally every traversal,wait isn't it the opposite?
wait isn't it the opposite?,Or is geeksforgeeks lying to me lol,wait,im stupid
What are the running times for the various rotations of an AVL tree?,I think they're all constant time,^,Okay what
So immediate children?,Cancel that,I'm being dumb again,@PieGe what was the correct answer?
@PieGe what was the correct answer?,I think it should be 9,yup,Can anyone explain to me why it cannot be uniquely determined?
Can anyone explain to me why it cannot be uniquely determined?,"i'm not 100% sure but my thought is that it's because it's not a bst, so we don't have any idea what's the child of what, and there are a lot of duplicates",could someone explain how to solve for this question?? a is the correct answer here but i rly dont get what we r supposed to be doing,"I think it's bc of 401, since it's a BST it should have been to the right of 399"
could someone explain how to solve for this question?? a is the correct answer here but i rly dont get what we r supposed to be doing,"I think it's bc of 401, since it's a BST it should have been to the right of 399",i think we need to draw out each bst and ensure that the order would go like that,i thought we just hv to make sure that left<root and right>root for bst
"how would we go about solving questions like these? i'm trying to draw out the trees and i can't see how the one i selected makes sense but it feels like a guessing game, so i've gotta be doing something wrong",and then everything after 399 should be less than 399 but greater than 2,ahh got it thank u,was it all are valid?
was it all are valid?,all are valid yeah,I think for BST and therefore AVL an inOrder traversal will print them out in increasing order,"bc you're starting out at the leftmost point, going to it's root, then the right subtree and recursing up"
so they just have to be increasing?,"Yeah, least to greatest",ah okay,thanks
is it none because no matter what you add the tree is still balanced?,I think so,"why is this 16? Since it is a complete binary tree, it has 2^k nodes until h-1, and then we can have one more node which is pushed to the left in level h...?","if not balanced then none of those cause a left rotation
33 keeps it balanced, 15 causes an LR if i remember correctly, 20 causes a right rotation i think, 5 also causes a right rotation"
"why is this 16? Since it is a complete binary tree, it has 2^k nodes until h-1, and then we can have one more node which is pushed to the left in level h...?","if not balanced then none of those cause a left rotation
33 keeps it balanced, 15 causes an LR if i remember correctly, 20 causes a right rotation i think, 5 also causes a right rotation","@silvery_g root has 1, 2nd level has 2, 3rd level has 4, 4th level has 8, 5th level has 1",this adds up to 16
"isn't 20 also a valid answer? it leads to the same structure as 5, doesn't it?",what would be imbalanced?,"if you add node 20, node 30 becomes imbalanced i think","20 is < 21, left subtree, not right"
what would be imbalanced?,"if you add node 20, node 30 becomes imbalanced i think","20 is < 21, left subtree, not right",OH
but then wouldn't you have to rearrange everything else?,"not really, those pointers stay attached to their nodes",you only change a few,"Yeah, the everything else is straight forward after you set 7 the root, 5 the root->left and 8 the root->right"
is this just asking how many leaves are on a BST? and is it n + 1? i don't know the proof,how are they gonna ask us to prove something in multiple choice,but anyways,the proof is in lecture 15 @Lexapedia (렉시)
could someone draw this out? i got 15 when i drew it out,rip i got 15 too,Answer should be 16. Consider the first 3 levels as being a perfect tree so you've got 2^(3+1) - 1 = 15 nodes,And 1 node in the 4th level makes 16 nodes
Are btrees on this exam?,https://courses.engr.illinois.edu/cs225/fa2021/exams/exam2/,Will a binary tree with preorder and postorder like this exist?,several will which is in fact the problem.
Will a binary tree with preorder and postorder like this exist?,several will which is in fact the problem.,Could you give me one simply using `1 1 2` as the pre-order and post-order?,Ah I get it
Could you give me one simply using `1 1 2` as the pre-order and post-order?,Ah I get it,nvm,thank you
"here is my AVL tree for this problem, I think I made a mistake does everything look right?",That is not a legal AVL tree since both 6 and 9 are out of balance.,oh shoot,sorry brain fart lol
does anyone remember why the answer to this is 3?,i goes 0 (line 1) -> 2 (line 4) -> 4 (line 5),thank you!,does anyone know how to do this?
does anyone know how to do this?,@mm-is-here at what time did u post the problem?,Well I agree with you about the root of the tree but clearly 1 has to be one of the children of the root since it is the 2nd in the preorder. Similarly 10 has to be one of the children since it is 2nd to last in the post order. You then work on from that.,"why would adding 9 cause a single left rotation here?? wouldnt it be added to the left of 35, which would then be bent and cause a complex rotation?"
@mm-is-here at what time did u post the problem?,Well I agree with you about the root of the tree but clearly 1 has to be one of the children of the root since it is the 2nd in the preorder. Similarly 10 has to be one of the children since it is 2nd to last in the post order. You then work on from that.,"why would adding 9 cause a single left rotation here?? wouldnt it be added to the left of 35, which would then be bent and cause a complex rotation?",Why do you think adding 9 would cause a single left rotation?
